feature,importance
ts_day_mean,654006.9409179688
events_per_minute,541296.3701171875
product_diversity,533599.7250976562
ts_month_mean,237595.70751953125
session_duration_seconds,185617.98046875
price_max,181901.36669921875
ts_weekday_min,140874.20166015625
ts_weekday_mean,113254.7021484375
price_mean,51717.0
ts_hour_min,41074.011474609375
price_std,33032.30078125
event_rate,27064.0
ts_hour_mean,26804.4296875
is_quick_session,16229.2001953125
ts_weekday_max,14422.0400390625
ts_hour_max,8748.0400390625
category_diversity,7628.6298828125
price_sum,6777.47998046875
hour_range,0.0
is_weekend,0.0
is_night_session,0.0
is_long_session,0.0
high_event_count,0.0
single_product_focus,0.0
price_vs_global,0.0
brand_diversity,0.0
n_events,0.0
price_cv,0.0
price_range,0.0
price_per_event,0.0
n_unique_products,0.0
ts_hour_std,0.0
cat_3_nunique,0.0
cat_2_nunique,0.0
cat_1_nunique,0.0
cat_0_nunique,0.0
n_unique_brands,0.0
price_min,0.0
events_vs_global,0.0
